# S5-a photos_cleanup 全链轮 3  @ 2026-09-25T01:21:55+08:00  serial=emulator-5554
09-24 17:23:20.211  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
# 磁盘终判 .trashed 残留=0 种子残留=0
--------- beginning of main
09-24 17:22:01.503  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:22:01.576  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:22:07.687  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:08.711  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:22:13.395  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:14.460  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:22:16.032  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:22:18.270  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:19.380  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:22:20.719  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:21.827  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:22:26.314  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:27.378  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:22:28.828  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:22:28.856  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:22:30.891  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:22:32.014  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
