# S5-a photos_cleanup 全链轮 1  @ 2026-09-25T01:18:37+08:00  serial=emulator-5554
09-24 17:20:02.764  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
# 磁盘终判 .trashed 残留=0 种子残留=0
--------- beginning of main
09-24 17:18:43.747  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:18:43.848  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:18:49.584  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:18:50.658  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:18:55.329  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:18:56.450  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:18:57.999  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:19:00.327  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:01.462  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:02.791  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:03.834  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:06.548  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=androidx.viewpager.widget.ViewPager/null/null src=androidx.viewpager.widget.ViewPager/null/null id=com.google.android.apps.photos:id/photo_view_pager
09-24 17:19:08.406  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:09.475  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:11.152  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:19:11.171  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:19:13.126  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:14.231  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:19.018  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:20.161  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:21.941  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:19:23.936  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:25.016  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:26.389  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:27.453  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:30.349  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:19:30.374  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:19:32.167  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:33.196  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:36.694  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:19:37.882  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:19:39.351  4190  4190 I AnytouchRun: S3SMOKE model ledger written origin=template steps=9 replaced=5
09-24 17:19:39.352  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=0 type=click value={"content_desc":"Show Navigation Drawer"}
09-24 17:19:39.352  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=1 type=wait value={"ms":800}
09-24 17:19:39.352  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=2 type=click value={"text":"Trash"}
09-24 17:19:39.354  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=3 type=wait value={"ms":1500}
09-24 17:19:39.354  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=4 type=click value={"content_desc":"More options"}
09-24 17:19:39.354  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=5 type=wait value={"ms":800}
09-24 17:19:39.355  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=6 type=click value={"text":"Empty trash"}
09-24 17:19:39.355  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=7 type=wait value={"ms":800}
