# S5-a photos_cleanup 全链轮 2  @ 2026-09-25T01:20:16+08:00  serial=emulator-5554
09-24 17:21:18.406  4190  4190 I AnytouchRun: S3SMOKE-TASK [{"action_id":"open_drawer","type":"click","target":null,"value":{"content_desc":"Show Navigation Drawer"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_drawer","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"open_trash","type":"click","target":null,"value":{"text":"Trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_trash","type":"wait","target":null,"value":{"ms":1500},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"trash_overflow","type":"click","target":null,"value":{"content_desc":"More options"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_menu","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_empty_trash","type":"click","target":null,"value":{"text":"Empty trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_confirm","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_delete_permanently","type":"click","target":null,"value":{"resource_id":"com.google.android.apps.photos:id/confirmation_button"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}}]
09-24 17:21:18.406  4190  4190 I AnytouchRun: S5SMOKE template load ok id=photos_cleanup via=adb_inject steps=9 replaced=9 verification=STRUCTURAL_ONLY
09-24 17:21:24.731  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:21:24.769  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:21:30.559  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:21:31.616  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:21:34.039  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageButton/Show Navigation Drawer/Show Navigation Drawer src=android.widget.ImageButton/null/Hide Navigation Drawer id=null
09-24 17:21:34.515  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/navigation_items
09-24 17:21:34.627  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/navigation_items delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:21:35.503  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.LinearLayout/Trash/null src=android.widget.LinearLayout/null/null id=null
09-24 17:21:35.719  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:21:35.721  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
