# S5-a photos_cleanup 全链轮 1  @ 2026-09-25T00:58:58+08:00  serial=emulator-5554
09-24 17:00:47.992  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
# 磁盘终判 .trashed 残留=0 种子残留=2
--------- beginning of main
09-24 16:59:04.303  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 16:59:04.310  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 16:59:10.018  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:11.101  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:15.863  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:16.952  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:18.574  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 16:59:20.639  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:21.727  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:23.123  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:24.174  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:28.728  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:29.781  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:33.284  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:34.403  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:36.808  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:37.863  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:40.227  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:41.268  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:43.779  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:44.809  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:49.683  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 16:59:49.847  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 16:59:55.091  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:56.207  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 16:59:58.713  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 16:59:59.823  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:04.698  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:05.769  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:07.444  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:00:09.460  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:10.484  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:11.843  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:12.917  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:17.500  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:18.543  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:22.103  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:23.113  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:24.559  4190  4190 I AnytouchRun: S3SMOKE model ledger written origin=template steps=9 replaced=5
09-24 17:00:24.559  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=0 type=click value={"content_desc":"Show Navigation Drawer"}
09-24 17:00:24.562  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=1 type=wait value={"ms":800}
09-24 17:00:24.562  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=2 type=click value={"text":"Trash"}
09-24 17:00:24.562  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=3 type=wait value={"ms":1500}
09-24 17:00:24.562  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=4 type=click value={"content_desc":"More options"}
09-24 17:00:24.562  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=5 type=wait value={"ms":800}
09-24 17:00:24.563  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=6 type=click value={"text":"Empty trash"}
09-24 17:00:24.563  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=7 type=wait value={"ms":800}
09-24 17:00:24.563  4190  4190 I AnytouchRun: S3SMOKE-MODEL-STEP index=8 type=click value={"resource_id":"com.google.android.apps.photos:id/confirmation_button"}
09-24 17:00:24.563  4190  4190 I AnytouchRun: S3SMOKE-TASK [{"action_id":"open_drawer","type":"click","target":null,"value":{"content_desc":"Show Navigation Drawer"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_drawer","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"open_trash","type":"click","target":null,"value":{"text":"Trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_trash","type":"wait","target":null,"value":{"ms":1500},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"trash_overflow","type":"click","target":null,"value":{"content_desc":"More options"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_menu","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_empty_trash","type":"click","target":null,"value":{"text":"Empty trash"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}},{"action_id":"pause_confirm","type":"wait","target":null,"value":{"ms":800},"source":"node","safety":{"viewport_ok":true,"click_enabled":false,"requires_transition":false}},{"action_id":"tap_delete_permanently","type":"click","target":null,"value":{"resource_id":"com.google.android.apps.photos:id/confirmation_button"},"source":"node","safety":{"viewport_ok":true,"click_enabled":true,"requires_transition":false}}]
09-24 17:00:24.563  4190  4190 I AnytouchRun: S5SMOKE template load ok id=photos_cleanup via=adb_inject steps=9 replaced=5 verification=STRUCTURAL_ONLY
09-24 17:00:30.543  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:00:30.552  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:00:36.733  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:00:37.834  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:00:40.353  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageButton/Show Navigation Drawer/Show Navigation Drawer src=android.widget.ImageButton/null/Hide Navigation Drawer id=null
09-24 17:00:40.788  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/navigation_items
09-24 17:00:40.807  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/navigation_items delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:00:41.867  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.LinearLayout/Trash/null src=android.widget.LinearLayout/null/null id=null
09-24 17:00:42.292  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:00:42.300  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:00:42.319  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:00:42.323  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:00:42.330  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.LinearLayout(null,null)kids=2pkg=com.google.android.apps.photostext=null evt=android.widget.LinearLayout/[Trash]/null walkDepth=10 roots=android.widget.FrameLayout(null,null)kids=2pkg=com.google.android.apps.photostext=null
09-24 17:00:42.464  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 1, 0, 1, 1] id=null text=Trash desc=null
09-24 17:00:42.518  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:00:42.522  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:00:44.176  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.FrameLayout/More options/null src=android.widget.FrameLayout/null/null id=com.google.android.apps.photos:id/action_bar_overflow
09-24 17:00:44.340  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:00:44.341  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:00:44.356  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:00:44.358  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:00:44.365  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.FrameLayout(null,null)kids=1pkg=com.google.android.apps.photostext=null evt=android.widget.FrameLayout/[More options]/null walkDepth=11 roots=android.widget.FrameLayout(7619,null)kids=1pkg=com.google.android.apps.photostext=null
09-24 17:00:44.390  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1] id=com.google.android.apps.photos:id/action_bar_overflow text=null desc=More options
09-24 17:00:44.468  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.widget.ListView/null/null src=android.widget.ListView/null/null id=null
09-24 17:00:44.469  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=null delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:00:47.992  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
09-24 17:00:49.385  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:00:49.458  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
